Completed Issues,,,,,
View in Issue Navigator,,,,,
Key,Summary,Issue Type,Priority,Status,Story Points (70 → 77)
AO-310,Scope and Outline Requirements for Session Facades,Scoping,TBD,Done,3
AO-317 *,"Initialise DateTime Obect based on Timestamp, Timezone, and Format",Task,TBD,Done,2
BUG-1319,Assembly Rounding Query,Bug,P3,Released,1
BUG-1326 *,Invoice Reminder Issues,Bug,P3,Aged Closed,1
BUG-1527,Variable service template,Bug,P2,Not a Bug,2
BUG-1881,Deposit Invoice ignores Task Type Account Code Map,Bug,P2,Released,2
BUG-1900 *,Text area CF structure lost in Reports,Bug,TBD,Pull Request,2
BUG-1912 *,Inconsistency with tax inc invoice calculations,Bug,P1,Released,3
BUG-1913,Use Layout Preview for Online View not working,Bug,P2,Released,2
BUG-1929,Assembly Categories not filtering,Bug,P1,Released,1
BUG-1933,Deposit invoice acc code displaying as historical,Bug,P2,Released,2
BUG-1971 *,BusinessLogicError in Deposit invoice setting not found for this quote.,Bug,TBD,Released,- → 1
BUG-1979 *,Expression in Element AUTHCONTEXT is undefined in ARGUMENTS.,Bug,TBD,Cancelled,2 → 1
BUG-1985 *,Database in Invalid data E9SR000152R for CFSQLTYPE CF_SQL_INTEGER.,Bug,TBD,Released,0.5
BUG-1996 *,Database in Invalid data 98200000630 for CFSQLTYPE CF_SQL_INTEGER.,Bug,TBD,Released,1
DT-1934,Recurring task - Database Performance Tuning,Task,Highest,Cancelled,3
DT-1948 *,Audit for change on Invoice,Task,TBD,Data Import Completed,- → 1
SP-3198,Remove FF - ARTISANS_1150_ONLINE_QUOTE_OPTIONS_ENABLE,Task,TBD,Done,0.5
SP-4814,API - List all the Gateway frontend information,Task,TBD,Pull Request,5
SP-4869,DEV_STORY - AroFlo Payments gateway,Task,TBD,Done,7
SP-4873,DEV_STORY - Implement Spreedly Stripe gateway,Task,TBD,Done,4.5
SP-4876,DEV_STORY - AroFlo Test gateway,Task,TBD,Pull Request,3
SP-4885,DEV_STORY - NAB Transact gateway,Task,TBD,Done,4
SP-4899 *,REL - task status workflow backend part 1,Task,TBD,Merged to Release Branch,1
SP-4901,DEV - Stripe conditional public key,Task,TBD,Pull Request,2
SP-4913,DEV - Salesforce/RevCloud works,Task,TBD,Done,6 → 8
SP-4936,DEV_STORY - AroFlo Stripe Logic Implementation #2,Task,High,Done,2
SP-4938,Payment gateway provider enum,Task,TBD,Merged to Release Branch,1.5
SP-4965 *,Remove PN_152_MANAGE_USERS_UPGRADE,Task,TBD,Merged to Release Branch,1
SP-4966 *,Frontend Calculations for Takeoffs and Line Item Values in Quotes and Quote Layout Incorrect,Task,Highest,Merged to Release Branch,2
SP-4983 *,REL - Event Message Default Templates,Task,TBD,Done,1
SP-5003 *,payment dialog date format fix,Task,Highest,Pull Request,1
SP-5004 *,unable to save ADI setting,Bug,High,Verified & Closed,1
SP-5006 *,DEV_STORY - Implement Pin Payment,Task,Medium,Done,- → 3
SP-5011 *,Update spreedly API response handling,Task,TBD,Pull Request,- → 1
Issues Not Completed,,,,,
View in Issue Navigator,,,,,
Key,Summary,Issue Type,Priority,Status,Story Points (33.5 → 37)
BUG-1461,L&H PO Import Missing Line Item,Bug,P2,Triaged,1
BUG-1814,Error creating quote against Project,Bug,P2,Bug Fix In Progress,0.5 → 1
BUG-1831,Tax Inc visual issue in deposit invoice dialog,Bug,P2,Bug Fix In Progress,2
BUG-1859,Customize and RTF Using wrong Org logo (fixed in preview),Bug,P2,Triaged,2
BUG-1874,Saving quote in field reverts Labour changes,Bug,P2,Bug Fix In Progress,2
BUG-1906,Deposit invoice always uses 10% tax,Bug,P2,Triaged,2
BUG-1969 *,Notes recorded off by and hour DST possibly,Bug,TBD,Bug Fix In Progress,1
SP-2882,Custom Field Visibility - Tasks,Story,Highest,Open,6
SP-2889,Compliance Form Visibility,Story,Highest,In Development,1
SP-3106,UAT - Implement missing email tracking options,Scoping,Lowest,Open,2
SP-3248,Fix optional flag logic for child items in Option Groups,Story,TBD,Bug Fix In Progress,4
SP-3499,No permission checks on Task Status Workflow fields,Testing Issue (Task),TBD,Bug Fix In Progress,2 → 3
SP-4756,Write High-Level Schedule Reminder Technical Documentation,Task,TBD,In Development,2
SP-4879,DEV_STORY - AroFlo Payments via GSA,Task,Highest,In Development,3 → 5
SP-4907,DEV - Stripe conditional private API key,Task,Highest,Code Review,3
Issues completed outside of this sprint,,,,,
View in Issue Navigator,,,,,
Key,Summary,Issue Type,Priority,Status,Story Points (1)
SP-4772,Email content differs from attached template,Testing Issue (Task),TBD,Verified & Closed,0.5
SP-4801,Compliance EM's firing with empty email,Testing Issue (Task),P1,Cancelled,0.5
Issues Removed From Sprint,,,,,
View in Issue Navigator,,,,,
Key,Summary,Issue Type,Priority,Status,Story Points (4)
BUG-1747,Check list event message not sending,Bug,P2,Bug Fix In Progress,2
SP-4969 *,Add Sales Person to calendar > Task/Quote Select,Task,TBD,Open,2